score_maths,score_prog,score_stats,score_design,score_electronique,score_gestion,score_physique,score_sciences_vie,score_langues,score_droit_eco,note_moyenne,pref_environnement,pref_professionnelle,comp_python,comp_web,comp_data,comp_hardware,comp_design,comp_gestion,comp_labo,interet_ia,interet_jeux,interet_finance,interet_multimedia,interet_reseaux,interet_recherche,interet_industrie,interet_construction,interet_agro,interet_tourisme,interet_droit,parcours_recommande,source_id,anonymized_id,population
7.267662703237059,2.093736696699575,1.712560253252625,0.8796457222439349,4.70595237369865,5.018494072816211,4.099130458081865,10.0,6.018191934585992,3.529338466303744,12.559895363404038,labo,agroalimentaire,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,IAA,synthetic_corpus_v2,syn_494a96be1a8c,synthetic
6.936036557210615,3.463107401287364,4.299164800133591,2.642948715239533,4.3815984332968565,3.558889789301784,6.849946700968139,6.767881360731463,6.759596883537807,3.3923230761060577,15.31784822754484,atelier,chimie_procedes,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,ICMP,synthetic_corpus_v2,syn_1fff860dd77e,synthetic
8.331726321195534,2.07610756980687,3.994616420811414,3.1423970036687954,3.6846968235800914,4.31994436962782,3.742846083441443,9.768627124289639,4.954367188605643,1.0463260843942153,10.661912300796338,labo,gestion_projet_si,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,AEE,synthetic_corpus_v2,syn_8caa84fe20a6,synthetic
8.066779816485578,5.208271366718039,8.195030469246833,1.8789131230224483,0.9157586641084734,7.909074228248211,1.9585895713127026,1.1340079276468689,5.469969846992407,7.930584479657153,12.492228390358191,labo,finance_compta,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,FIC,synthetic_corpus_v2,syn_8487965ec39d,synthetic
6.684895990578642,9.663291748897846,6.985792361787819,3.2019259355660523,4.624852360303578,6.559029247835509,5.69145121628816,1.1394747694963259,6.094174572950077,4.212216671817531,16.5198696821919,remote,finance_compta,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,IGGLIA,synthetic_corpus_v2,syn_a6b6b58201ed,synthetic
4.443647110766956,3.3021012223432114,3.1963822863133564,5.5621985187914165,1.2516769884447685,6.368191964180662,1.6500847738774145,5.518929910199867,9.778822209664057,6.144920625072805,15.45829392791572,startup,tourisme_hotellerie,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,TEH,synthetic_corpus_v2,syn_c42771b7d7b5,synthetic
4.898749230599689,1.5739333744820767,6.27705138662961,3.826334041174665,4.171998443973756,5.547175679229156,5.932169238638176,6.3864527144289465,5.535705021654426,3.7125437960060363,13.94066440022375,terrain,developpement_logiciel,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,IAA,synthetic_corpus_v2,syn_7910eec6edd6,synthetic
6.384539416615246,4.225059385202969,4.341985354561978,3.0494472801379437,2.926181184474435,6.344977769967742,3.769784966666989,9.720372457885427,5.0595945266045,1.9196899116404644,14.812394238220751,atelier,agroalimentaire,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,IAA,synthetic_corpus_v2,syn_bcc4ed0f6b1b,synthetic
5.987428025770332,4.8801591052451405,6.046818415954123,3.2230014930226987,9.879252209149382,3.9463204789745583,5.8138027671876475,3.6593556172049273,3.5555552684066716,3.4104041489052253,12.028810857280721,atelier,electronique_embarque,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,CAA,synthetic_corpus_v2,syn_a892407ea295,synthetic
6.512639625434817,2.2657949108704765,4.739427664308423,2.8328130156642577,3.4063018833691454,5.1647442071943885,6.300407339603119,8.24444687271763,4.53066647444392,3.426892334350478,12.337926531451075,startup,industrie_automatisme,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,ICMP,synthetic_corpus_v2,syn_b529e643ba0a,synthetic
6.691377974183327,5.1864827307504955,4.52278942396813,2.958384899977692,5.237312514667835,4.023019998084683,8.567446783706982,2.6623560097131587,3.7038114453860973,3.5855896449655047,11.38156421942705,labo,data_science,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,EMII,synthetic_corpus_v2,syn_fdb1794ca47b,synthetic
4.149636733181616,2.193802989974255,2.1564732231469064,3.2273504438467624,1.2993356730893373,5.990064139284495,2.7701024633610594,7.250254316695359,8.16493489694598,3.8419847302645875,12.082855560518135,bureau,tourisme_hotellerie,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TEE,synthetic_corpus_v2,syn_3fae9206534e,synthetic
5.559976316453484,5.005345474275897,6.092118385820434,3.451589136159185,0.0,6.073063532747825,2.6552914442750426,2.0703247965145906,5.172997781417458,8.07863909699606,13.172697051261714,startup,gestion_projet_si,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,EMP,synthetic_corpus_v2,syn_553cc03fe214,synthetic
5.105296155599947,1.9943952704251608,5.674311436397957,2.354041085620021,2.454693958661763,3.1024270621868086,5.345028414147801,10.0,5.36547044735975,5.254159001056766,11.230846795734003,terrain,agriculture_elevage,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,AEE,synthetic_corpus_v2,syn_3033e827c3af,synthetic
8.57204763144034,4.5492109141356645,6.297649752724576,3.3794902689250415,4.318634378939766,4.607410799716577,6.715288337083118,6.045158048328329,2.8536261894162296,3.1615826216777485,13.362178239403644,labo,industrie_automatisme,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,ICMP,synthetic_corpus_v2,syn_38564041b216,synthetic
3.0972759504796934,5.395453092500841,6.381847736476598,8.96166797750228,1.411694038318333,3.6515747489819073,2.8654033198672995,4.373423839811778,5.775890238234777,5.068399464084819,13.027896156227985,bureau,multimedia_ux,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,IMTICIA,synthetic_corpus_v2,syn_6981d7e1230b,synthetic
7.157534818670711,5.011913757894836,5.860818149130413,2.5715878141979562,2.588728282947066,9.521033084631032,3.3708495799824663,3.4419451464255015,7.435915695097037,7.913105193403347,11.587448756143973,bureau,commerce_gestion,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,CAA,synthetic_corpus_v2,syn_2051257cd3d8,synthetic
6.5841626220393525,9.467320260160164,3.522667430674635,5.761698187198356,4.443820101598196,7.453307958256539,4.274135225193346,1.5814056387493012,3.8046718973019606,4.443866463649525,10.720908207464582,bureau,finance_compta,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IGGLIA,synthetic_corpus_v2,syn_51fbe95a9ff6,synthetic
3.7272306948192018,4.207714179413943,4.028336474896765,4.640881833286106,2.561982057336778,6.715438369482127,4.808033398851703,9.523879195442891,5.362911655306004,4.247949279502365,13.021901715774066,remote,agriculture_elevage,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,AEE,synthetic_corpus_v2,syn_10e9f9cc70b3,synthetic
4.739793456383148,3.3213290369910133,4.044737441148892,4.012977250545006,5.15178189084428,10.0,3.3620174642729954,2.3972712427106226,4.17349684759577,6.413256324919779,14.924189284154071,bureau,gestion_projet_si,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,EMP,synthetic_corpus_v2,syn_d7f99a98a603,synthetic
5.593473606228777,2.3790665008648157,5.664391275890606,3.2741528180787856,2.2588514310789582,7.338505469001856,2.296408048981009,1.1170976116996165,8.841621006013792,10.0,12.437807387814875,bureau,droit_affaires,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,DTJA,synthetic_corpus_v2,syn_ba6dba26d5fe,synthetic
7.967054254761382,6.9112622505968915,8.86365793951926,4.208384687583669,2.921945192737429,6.40369541718262,5.109639036123751,3.5353692050972096,5.613054932776252,5.400508265284292,13.340804729979665,remote,recherche_appliquee,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,ISAIA,synthetic_corpus_v2,syn_22039b48c299,synthetic
3.7352127121104606,2.8613358005208323,5.1794994477541145,2.3498239790838373,1.0018865908846284,7.190915490626807,2.881364260845257,4.48405149103207,8.821048343351865,5.134158564407912,11.709720206019234,startup,tourisme_hotellerie,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,TEH,synthetic_corpus_v2,syn_13fda1c26a62,synthetic
6.894487108696123,3.355239692451141,7.720555880612505,3.1031988780062587,0.1989875493476343,4.387217480658454,8.787404959729967,10.0,4.026933267429694,4.209327817316668,12.88697986266539,labo,recherche_appliquee,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,PIP,synthetic_corpus_v2,syn_45769fde8378,synthetic
5.413580917244445,4.687938640380773,5.388462674694878,4.48293947159297,2.0932239402897688,5.567372008293001,3.822695410260466,8.003673708706698,4.185474932706445,2.628970135175433,11.176745711731456,labo,agroalimentaire,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,IAA,synthetic_corpus_v2,syn_0d610419e469,synthetic
7.265650304771474,6.974207771378584,5.387699909525481,2.6206501536378153,7.178053804510886,4.7989997173680585,7.515016511305837,3.56602902980158,4.948090659366677,1.2938855171434613,10.848666688813594,bureau,electronique_embarque,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,ESIIA,synthetic_corpus_v2,syn_165672bc2331,synthetic
6.245265574080671,2.5053498046396743,6.571430763817281,4.1083052811421945,4.62038856659337,3.9538591991535994,6.712634721860412,6.535020046110049,2.8062722571656264,2.2467002140298815,12.072918389822188,startup,chimie_procedes,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,ICMP,synthetic_corpus_v2,syn_0c50bac4e96e,synthetic
4.996033685185805,8.80384541235442,6.574262082671416,4.327985507844249,6.186597999697309,9.215744942964502,3.130966682339581,2.118367079431517,5.063636063382424,3.994376983489178,15.24943245979873,remote,gestion_projet_si,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,IGGLIA,synthetic_corpus_v2,syn_686bfb83f125,synthetic
7.1106125290322,6.318597943171341,4.962374359188198,1.2678638436757925,7.344843429896859,3.8207977155142028,7.301678435973076,1.8205728701679993,3.7875836967082757,3.0732178264970464,14.334120184786787,labo,electronique_embarque,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,IAA,synthetic_corpus_v2,syn_a59b0272552c,synthetic
8.329212807380513,4.532741026804356,7.093428069120765,2.5552643357521654,3.2314276017282366,7.976290568196978,1.5180759532978505,0.44050158701853803,5.4704226073251805,9.40557234060713,16.914808034314635,bureau,tourisme_hotellerie,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,FIC,synthetic_corpus_v2,syn_8cb2456e5b8c,synthetic
3.7252840770507936,3.379167479758589,2.8000182630275234,3.428055166843143,2.3962161727611537,6.89410545964828,3.212076436237913,1.634827796612249,7.743373278807303,7.827304522641772,14.525766021430307,bureau,droit_affaires,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,ICMP,synthetic_corpus_v2,syn_16dc8c596684,synthetic
5.262907615359005,3.047214618530954,2.40202628793102,3.906480983207871,2.639902425456516,5.385434682480527,2.729319574717675,4.364980535423412,7.134887205564773,4.2708851987693635,12.358818403148272,terrain,tourisme_hotellerie,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,TEE,synthetic_corpus_v2,syn_d482c36719cc,synthetic
8.839944157780774,4.032732113442517,6.050969379222977,3.881949443183738,2.02908087936611,2.6129989144432724,4.648731403536491,5.544096925260947,6.167472310296074,4.191218537681193,14.013267960045418,labo,data_science,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,ISAIA,synthetic_corpus_v2,syn_20a83b531dc6,synthetic
7.771329612053245,5.4055170493127465,5.26894216110317,3.037361823533973,6.481770029576831,3.2416900262068893,7.597556495617249,3.266558691059342,3.967652996277751,3.258412551946499,13.751219700319167,labo,electronique_embarque,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,EMII,synthetic_corpus_v2,syn_03325c2194de,synthetic
6.712601637295904,3.0460577391629524,3.849849073165684,4.190138613095627,0.9529504990052038,5.457431040335123,6.443506074642956,7.007591122258065,6.030778187341375,2.6430426893599384,11.979896268957384,labo,chimie_procedes,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,ICMP,synthetic_corpus_v2,syn_bbf0e5c4a703,synthetic
7.7356530517249436,5.849503043366599,3.8627763972329894,6.628537743146869,7.6409710674625195,4.120171494952092,5.705207698949559,2.6397620980617065,2.880129339172798,2.4690324685799867,14.567596998656686,atelier,recherche_appliquee,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,ESIIA,synthetic_corpus_v2,syn_851f11dd1fc8,synthetic
6.462560305868247,8.845631018493496,5.422954996626457,3.406793412569791,8.05635910574947,3.2843539988358668,4.876312271979419,3.66248863830827,4.537971646907655,2.785000808143904,12.794159947245616,chantier,electronique_embarque,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,ESIIA,synthetic_corpus_v2,syn_083578080cf5,synthetic
7.441819319435213,2.94129586449368,3.677271609170085,8.35650738335793,2.9012091861687193,6.524051520712311,7.360097380780764,3.2937315405583885,4.433428780492398,1.9628532285782527,15.142507459395869,chantier,genie_civil_archi,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,GCA,synthetic_corpus_v2,syn_54199095e05f,synthetic
